Nr      tilename      min_lat      max_lat      min_lon      max_lon
535      N19E004_full      19.001      19.999      4.001      4.999
536      N19E005_full      19.001      19.999      5.001      5.999
537      N19E006_full      19.001      19.999      6.001      6.999
538      N19E007_full      19.001      19.999      7.001      7.999
539      N19E008_full      19.001      19.999      8.001      8.999
540      N19E009_full      19.001      19.999      9.001      9.999
541      N19E010_full      19.001      19.999      10.001      10.999
542      N19E011_full      19.001      19.999      11.001      11.999
543      N19E012_full      19.001      19.999      12.001      12.999
544      N19E013_full      19.001      19.999      13.001      13.999
545      N19E014_full      19.001      19.999      14.001      14.999
546      N19E015_full      19.001      19.999      15.001      15.999
547      N19E016_full      19.001      19.999      16.001      16.999
548      N19E017_full      19.001      19.999      17.001      17.999
549      N19E018_full      19.001      19.999      18.001      18.999
550      N19E019_full      19.001      19.999      19.001      19.999
551      N19E020_full      19.001      19.999      20.001      20.999
552      N19E021_full      19.001      19.999      21.001      21.999
553      N19E022_full      19.001      19.999      22.001      22.999
